"SITEMOBILE_LOADING_PAGE_MESSAGE";"Loading..."
"mobilepagetitle-blog-view-index";"Blog"
"mobilepagetitle-blog-edit-index";"Edit Blog"

#Group
"mobilepagetitle-group-browse-index";"Browse Groups"
"mobilepagetitle-group-manage-index";"My Groups"
"mobilepagetitle-group-create-index";"Create New Group"
"mobilepagetitle-group-edit-group";"Edit Event"

#Event
"mobilepagetitle-event-browse-index";"Browse Events"
"mobilepagetitle-event-manage-index";"My Events"
"mobilepagetitle-event-create-index";"Create New Event"

#Video
"mobilepagetitle-video-browse-index";"Browse Videos"
"mobilepagetitle-video-manage-index";"My Videos"
"mobilepagetitle-video-create-index";"Post New video"
"mobilepagetitle-video-edit-index";"Edit Video"

#Message
"mobilepagetitle-messages-inbox-messages";"Inbox"
"mobilepagetitle-messages-outbox-messages";"Sent Messages"
"mobilepagetitle-messages-compose-messages";"Compose Message"

#Notifications
"mobilepagetitle-activity-index-notifications";"Notifications"

#search
"mobilepagetitle-core-index-search";"Search"

#settings
"mobilepagetitle-user-general-settings";"Settings"
"mobilepagetitle-user-privacy-settings";"Privacy"
"mobilepagetitle-user-notifications-settings";"Notifications"
"mobilepagetitle-user-password-settings";"Change Password"
"mobilepagetitle-user-delete-settings";"Delete User"
"mobilepagetitle-user-network-settings";"Network Setting"
"Status";"Status"
"Photo";"Photo"
"Check In";"Check In"
"Update Status";"Update Status"
"mobilepagetitle-user-network-settings";"Networks"

#USER
"SM_USER_SELF";"You"
"%s mutual follower.";"%s mutual follower.";"%s mutual followers."
"%s mutual friend.";"%s mutual friend.";"%s mutual friends."

"SITEMOBILE_MODULE_NOT_SUPPORT";"Not Compatible with Mobile / Tablet Plugin"
"SITEMOBILE_MODULE_NOT_SUPPORT_DESC";"You cannot view this page in Mobile as this page belongs to a module which might not be compatible with the ""Mobile / Tablet Plugin""."
"Add Photo";"Add Photo"
"Sorry, the browser you are using does not support Photo uploading. You can create an album from your Desktop.";"Sorry, the browser you are using does not support Photo uploading. You can create an album from your Desktop."
"Sorry, the browser you are using does not support Photo uploading. We recommend you to create an Event from your mobile / tablet without uploading a main photo for it. You can later upload the main photo from your Desktop.";"Sorry, the browser you are using does not support Photo uploading. We recommend you to create an Event from your mobile / tablet without uploading a main photo for it. You can later upload the main photo from your Desktop."
"Sorry, the browser you are using does not support Photo uploading. We recommend you to create a Group from your mobile / tablet without uploading a profile photo for it. You can later upload the profile photo from your Desktop.";"Sorry, the browser you are using does not support Photo uploading. We recommend you to create a Group from your mobile / tablet without uploading a profile photo for it. You can later upload the profile photo from your Desktop."
"Sorry, the browser you are using does not support Photo uploading. You can edit your profile picture from your desktop.";"Sorry, the browser you are using does not support Photo uploading. You can edit your profile picture from your desktop."
"Sorry, the browser you are using does not support Photo uploading, so please skip this step for now. You can upload a profile picture from your desktop.";"Sorry, the browser you are using does not support Photo uploading, so please skip this step for now. You can upload a profile picture from your desktop."
"Main Photo";"Main Photo"
"Profile Photo";"Profile Photo"
"Start typing a name...";"Start typing a name..."
"Sorry, the browser you are using does not support Photo uploading. You can upload the Photo from your Desktop.";"Sorry, the browser you are using does not support Photo uploading. You can upload the Photo from your Desktop."

"Sorry, the browser you are using does not support Photo uploading. We recommend you to create an Event from your mobile / tablet without uploading a main photo for it. You can later upload the main photo from your Desktop.";"Sorry, the browser you are using does not support Photo uploading. We recommend you to create an Event from your mobile / tablet without uploading a main photo for it. You can later upload the main photo from your Desktop."
"Sorry, the browser you are using does not support Photo uploading. We recommend you to edit an Event from your mobile / tablet without uploading a main photo for it. You can later upload the main photo from your Desktop.";"Sorry, the browser you are using does not support Photo uploading. We recommend you to edit an Event from your mobile / tablet without uploading a main photo for it. You can later upload the main photo from your Desktop."
"Sorry, the browser you are using does not support Photo uploading. We recommend you to create an Offer from your mobile / tablet without uploading a main photo for it. You can later upload the offer picture from your Desktop.";"Sorry, the browser you are using does not support Photo uploading. We recommend you to create an Offer from your mobile / tablet without uploading a main photo for it. You can later upload the offer picture from your Desktop."
"Sorry, the browser you are using does not support Photo uploading. We recommend you to edit an Offer from your mobile / tablet without uploading a main photo for it. You can later upload the offer picture from your Desktop.";"Sorry, the browser you are using does not support Photo uploading. We recommend you to edit an Offer from your mobile / tablet without uploading a main photo for it. You can later upload the offer picture from your Desktop."
"Sorry, the browser you are using does not support Photo uploading. We recommend you to edit an Event from your mobile / tablet without uploading a main photo for it. You can later upload the main photo from your Desktop.";"Sorry, the browser you are using does not support Photo uploading. We recommend you to edit an Event from your mobile / tablet without uploading a main photo for it. You can later upload the main photo from your Desktop."
"Sorry, the browser you are using does not support Photo uploading. You can upload photo for note from your Desktop.";"Sorry, the browser you are using does not support Photo uploading. You can upload photo for note from your Desktop."
"Sorry, the browser you are using does not support Photo uploading. We recommend you to create a Note from your mobile / tablet without uploading a main photo for it. You can later upload the main photo from your Desktop.";"Sorry, the browser you are using does not support Photo uploading. We recommend you to create a Note from your mobile / tablet without uploading a main photo for it. You can later upload the main photo from your Desktop."
"Sorry, the browser you are using does not support Photo uploading. We recommend you to edit a Note from your mobile / tablet without uploading a main photo for it. You can later upload the main photo from your Desktop.";"Sorry, the browser you are using does not support Photo uploading. We recommend you to edit a Note from your mobile / tablet without uploading a main photo for it. You can later upload the main photo from your Desktop."
"Sorry, the browser you are using does not support Document uploading. You can upload document from your Desktop.";"Sorry, the browser you are using does not support Document uploading. You can upload document from your Desktop."

#Sitemobile
"SITEMOBILE_MUSIC_FEED_PREVIEW_DESCRIPTION";"Your song has been attached to your post. If you want to detach this song then click cancel."
"Page Not Mobile Friendly";"Page Not Mobile Friendly"
"The mobile friendly view of this page is not available. We're working on this and will have it up soon. Meanwhile, you can visit this on the full site by clicking below.";"The mobile friendly view of this page is not available. We're working on this and will have it up soon. Meanwhile, you can visit this on the full site by clicking below."
"My Request (%d)";"My Request (%d)";"My Requests (%d)"
