"Visit your Insights Page";"Visit your Insights Circle"
"Page Document\'s Delete Page";"Page Document\'s Delete Circle"
"How many ads will be shown on a Page document\'s delete page?";"How many ads will be shown on a Circle document\'s delete page?"
"Page Profile Videos Widget";"Circle Profile Videos Widget"
"How many ads will be shown in page profile videos widget?";"How many ads will be shown in page profile videos widget?"
"Page Video\'s View Page";"Page Video\'s View Circle"
"How many ads will be shown on a page video\'s view page?";"How many ads will be shown on a page video\'s view page?"
"Page Video\'s Create Page";"Page Video\'s Create Circle"
"How many ads will be shown on a page video\'s create page?";"How many ads will be shown on a page video\'s create page?"
"Page Video\'s Edit Page";"Page Video\'s Edit Circle"
"How many ads will be shown on a page video\'s edit page?";"How many ads will be shown on a page video\'s edit page?"
"Page Video\'s Delete Page";"Page Video\'s Delete Circle"
"How many ads will be shown on a page video\'s delete page?";"How many ads will be shown on a page video\'s delete page?"
"Page Profile Polls Widget";"Circle Profile Polls Widget"
"How many ads will be shown in page profile polls widget?";"How many ads will be shown in page profile polls widget?"
"Page Poll\'s View Page";"Page Poll\'s View Circle"
"How many ads will be shown on a page poll\'s view page?";"How many ads will be shown on a page poll\'s view page?"
"Page Poll\'s Create Page";"Page Poll\'s Create Circle"
"How many ads will be shown on a page poll\'s create page?";"How many ads will be shown on a page poll\'s create page?"
"Page Poll\'s Delete Page";"Page Poll\'s Delete Circle"
"How many ads will be shown on a page poll\'s delete page?";"How many ads will be shown on a page poll\'s delete page?"
"Page Profile Reviews Widget";"Circle Profile Reviews Widget"
"How many ads will be shown in page profile reviews widget?";"How many ads will be shown in page profile reviews widget?"
"Page Review\'s Create Page";"Page Review\'s Create Circle"
"How many ads will be shown on a page review\'s create page?";"How many ads will be shown on a page review\'s create page?"
"Page Review\'s Edit Page";"Page Review\'s Edit Circle"
"How many ads will be shown on a page review\'s edit page?";"How many ads will be shown on a page review\'s edit page?"
"Page Review\'s Delete Page";"Page Review\'s Delete Circle"
"How many ads will be shown on a page review\'s delete page?";"How many ads will be shown on a page review\'s delete page?"
"Page Profile Offers Widget";"Circle Profile Offers Widget"
"How many ads will be shown in page profile offers widget?";"How many ads will be shown in page profile offers widget?"
"Page Offers Browse Page";"Page Offers Browse Circle"
"How many ads will be shown on page offers browse page?";"How many ads will be shown on page offers browse page?"
"Page Profile Form Widget";"Circle Profile Form Widget"
"How many ads will be shown in page profile form widget?";"How many ads will be shown in page profile form widget?"
"Form Add Question Page";"Form Add Question Circle"
"How many ads will be shown on form\'s add question page?";"How many ads will be shown on form\'s add question page?"
"Invite Friends Page";"Invite Friends Circle"
"How many ads will be shown on invite friends page?";"How many ads will be shown on invite friends page?"
"Badges View Page";"Badges View Circle"
"How many ads will be shown on a badge\'s view page?";"How many ads will be shown on a badge\'s view page?"
"Page Profile Map Widget";"Circle Profile Map Widget"
"How many ads will be shown in page profile map widget?";"How many ads will be shown in page profile map widget?"
"Page Profile Overview Widget";"Circle Profile Overview Widget"
"How many ads will be shown in page profile overview widget?";"How many ads will be shown in page profile overview widget?"
"Page Profile Info Widget";"Circle Profile Info Widget"
"How many ads will be shown in page profile info widget?";"How many ads will be shown in page profile info widget?"
"Claim Page";"Claim Circle"
"How many ads will be shown on claim page?";"How many ads will be shown on claim page?"
"Browse Tags Page";"Browse Tags Circle"
"How many ads will be shown on browse tags page?";"How many ads will be shown on browse tags page?"
"Album Cover";"Album Cover"
"Edit Album";"Edit Album"
"Album Title";"Album Title"
"Delete Album?";"Delete Album?"
"Are you sure that you want to delete this album?";"Are you sure that you want to delete this album?"
"Delete Album";"Delete Album"
"Tag Post Privacy";"Tag Post Privacy"
"Page Reports";"Circle Reports"
"You can view performance reports of your page over multiple durations and time intervals. The generated reports include statistics like views, likes, comments and active users. You can also export and save the reports.";"You can view performance reports of your page over multiple durations and time intervals. The generated reports include statistics like views, likes, comments and active users. You can also export and save the reports."
"Monthly";"Monthly"
"Daily";"Daily"
"To";"To"
"From";"From"
"Format";"Format"
"Generate Report";"Generate Report"
"Webpage (.html)";"Webpage (.html)"
"Excel (.xls)";"Excel (.xls)"
"January";"January"
"February";"February"
"March";"March"
"April";"April"
"May";"May"
"June";"June"
"July";"July"
"August";"August"
"September";"September"
"October";"October"
"November";"November"
"December";"December"
"Cumulative";"Cumulative"
"Change in";"Change in"
"Metric";"Metric"
"Active Users";"Active Users"
"Views";"Views"
"Likes";"Likes"
"This week";"This week"
"This month";"This month"
"This year";"This year"
"By Day";"By Day"
"Filter";"Filter"
"Page Description <span>(meta tag)</span>";"Circle Description <span>(meta tag)</span>"
"Page Keywords <span>(meta tag)</span>";"Circle Keywords <span>(meta tag)</span>"
"Add New Photos";"Add New Photos"
"Browse and choose photos on your system to add to this page. (2MB maximum)";"Browse and choose photos on your system to add to this page. (2MB maximum)"
"Save Photos";"Save Photos"
"Image Description";"Image Description"
"Delete Photo";"Delete Photo"
"Edit Photo";"Edit Photo"
"Caption";"Caption"
"Are you sure that you want to delete this photo?";"Are you sure that you want to delete this photo?"
"Delete Photo?";"Delete Photo?"
"submit";"submit"
"Browse and choose photos on your system to add to this album.";"Browse and choose photos on your system to add to this album."
"Choose Album";"Choose Album"
"Create A New Album";"Create A New Album"
"Edit Post";"Edit Post"
"Delete Post?";"Delete Post?"
"Delete Post";"Delete Post"
"Are you sure that you want to delete this post?";"Are you sure that you want to delete this post?"
"Post your reply to this topic below.";"Post your reply to this topic below."
"Body";"Body"
"Send me notifications when other members reply to this topic.";"Send me notifications when other members reply to this topic."
"Rename Topic";"Rename Topic"
"Delete Topic?";"Delete Topic?"
"Are you sure that you want to delete this topic?";"Are you sure that you want to delete this topic?"
"Delete Topic";"Delete Topic"
"Post Discussion Topic";"Post Discussion Topic"
"Message";"Message"
"Post Topic";"Post Topic"
"Unhide All Photos";"Unhide All Photos"
"Unhide all photos from the photo strip on top of Page profile and reset the photo strip.";"Unhide all photos from the photo strip on top of Circle profile and reset the photo strip."
"Unhide All";"Unhide All"
"Please fill the form given below and send it to your friends. Through this you can let them know about this Page.";"Please fill the form given below and send it to your friends. Through this you can let them know about this Circle."
"Your Name *";"Your Name *"
"Your Email *";"Your Email *"
"To *";"To *"
"Message *";"Message *"
"You can send a personal note in the mail.";"You can send a personal note in the mail."
"Send a copy to my email address.";"Send a copy to my email address."
"Please type the characters you see in the image.";"Please type the characters you see in the image."
"Edit Page Style";"Edit Circle Style"
"Edit the CSS style of your page using the text area below, and then click ""Save Style"" to save changes.";"Edit the CSS style of your page using the text area below, and then click ""Save Style"" to save changes."
"Custom Advanced Page Style";"Custom Advanced Circle Style"
"Add your own CSS code above to give your page a more personalized look.";"Add your own CSS code above to give your page a more personalized look."
"Save Style";"Save Style"
"Page Profile Type";"Circle Profile Type"
"Name";"Name"
"Within Kilometers";"Within Kilometers"
"1 Kilometer";"1 Kilometer"
"2 Kilometers";"2 Kilometers"
"5 Kilometers";"5 Kilometers"
"10 Kilometers";"10 Kilometers"
"20 Kilometers";"20 Kilometers"
"50 Kilometers";"50 Kilometers"
"100 Kilometers";"100 Kilometers"
"250 Kilometers";"250 Kilometers"
"500 Kilometers";"500 Kilometers"
"750 Kilometers";"750 Kilometers"
"1000 Kilometers";"1000 Kilometers"
"Within Miles";"Within Miles"
"1 Mile";"1 Mile"
"2 Miles";"2 Miles"
"5 Miles";"5 Miles"
"10 Miles";"10 Miles"
"20 Miles";"20 Miles"
"50 Miles";"50 Miles"
"100 Miles";"100 Miles"
"250 Miles";"250 Miles"
"500 Miles";"500 Miles"
"750 Miles";"750 Miles"
"1000 Miles";"1000 Miles"
"Search Pages";"Search Circles"
"Badge";"Badge"
"Browse By";"Browse By"
"Most Recent";"Most Recent"
"Most Viewed";"Most Viewed"
"Most Commented";"Most Commented"
"Most Liked";"Most Liked"
"Alphabetical";"Alphabetical"
"Everyone's Pages";"Everyone's Circles"
"Only My Friends' Pages";"Only My Friends' Circles"
"Pages I Like";"Circles I Like"
"Show";"Show"
"Only Pages With Photos";"Only Circles With Photos"
"Pages With Offers";"Circles With Offers"
"Edit Profile Picture";"Edit Profile Picture"
"Current Photo";"Current Photo"
"Choose New Photo";"Choose New Photo"
"Remove Photo";"Remove Photo"
"Overview enables you to create a rich profile for your Page using the editor below. Compose the overview and click ""Save Overview"" to save it.";"Overview enables you to create a rich profile for your Circle using the editor below. Compose the overview and click ""Save Overview"" to save it."
"Save Overview";"Save Overview"
"Formatted Address";"Formatted Address"
"Latitude";"Latitude"
"Longitude";"Longitude"
"Street Address";"Street Address"
"Zipcode";"Zipcode"
"Country";"Country"
"Are you sure you want to hide this photo?";"Are you sure you want to hide this photo?"
"Hiding a photo only removes it from your profile page. People you've allowed will still be able to view this photo on your photos page.";"Hiding a photo only removes it from your profile page. People you've allowed will still be able to view this photo on your photos page."
"Hide Photo";"Hide Photo"
"This button will enable visitors on your page to add your place or tip to their foursquare To-Do List.";"This button will enable visitors on your page to add your place or tip to their foursquare To-Do List."
"This button will enable visitors on your Page to add your place or tip to their foursquare To-Do List. (Note that this will be visible on your Page only if you have added location information for it.)";"This button will enable visitors on your Page to add your place or tip to their foursquare To-Do List. (Note that this will be visible on your Circle only if you have added location information for it.)"
"Show 'Save to foursquare' Button on your Page.";"Show 'Save to foursquare' Button on your Circle."
"Save to foursquare";"Save to foursquare"
"Edit Profile Question";"Edit Profile Question"
"Question Type";"Question Type"
"Question Label";"Question Label"
"Description";"Description"
"Inline CSS";"Inline CSS"
"Custom Error Message";"Custom Error Message"
"Required?";"Required?"
"Not Required";"Not Required"
"Required";"Required"
"Show on Browse Members Page?";"Show on Browse Members Circle?"
"Hide on Browse Members";"Hide on Browse Members"
"Show on Browse Members";"Show on Browse Members"
"Show when no profile type has been selected";"Show when no profile type has been selected"
"Show on Member Profiles?";"Show on Member Profiles?"
"Show on Member Profiles";"Show on Member Profiles"
"Show on Member Profiles (with links)";"Show on Member Profiles (with links)"
"Hide on Member Profiles";"Hide on Member Profiles"
"Show on Signup/Creation?";"Show on Signup/Creation?"
"Show on signup/creation";"Show on signup/creation"
"Hide on signup/creation";"Hide on signup/creation"
"Save Question";"Save Question"
"Edit Page Info";"Edit Circle Info"
"Edit the information of your page and keep it updated.";"Edit the information of your page and keep it updated."
"Configure your page to showcase your offerings and connect to your customers.";"Configure your page to showcase your offerings and connect to your customers."
" and if your page has $limit or more likes URL will be: <br /> <span id='page_url_address'>http://%s</span>";" and if your page has $limit or more likes URL will be: <br /> <span id='page_url_address'>http://%s</span>"
"PAGE-NAME";"PAGE-NAME"
"URL";"URL"
"Please enter a valid page url.";"Please enter a valid page url."
"Someone has already picked this page url, please use another one.";"Someone has already picked this page url, please use another one."
"Profile addresses must start with a letter.";"Profile addresses must start with a letter."
"Tags (Keywords)";"Tags (Keywords)"
"Category";"Category"
"Main Photo";"Main Photo"
"Price ($currencyName)";"Price ($currencyName)"
"Status";"Status"
"Published";"Published"
"Saved As Draft";"Saved As Draft"
"If this entry is published, it cannot be switched back to draft mode.";"If this entry is published, it cannot be switched back to draft mode."
"View Privacy";"View Privacy"
"Who may see this page?";"Who may see this page?"
"Comment Privacy";"Comment Privacy"
"Who may post comments on this page?";"Who may post comments on this page?"
"Photo Creation Privacy";"Photo Creation Privacy"
"Who may upload photos for this page?";"Who may upload photos for this page?"
"Documents Creation Privacy";"Documents Creation Privacy"
"Who may create documents for this page?";"Who may create documents for this page?"
"Videos Creation Privacy";"Videos Creation Privacy"
"Who may create videos for this page?";"Who may create videos for this page?"
"Polls Creation Privacy";"Polls Creation Privacy"
"Who may create polls for this page?";"Who may create polls for this page?"
"Notes Creation Privacy";"Notes Creation Privacy"
"Who may create notes for this page?";"Who may create notes for this page?"
"Event Creation Privacy";"Event Creation Privacy"
"Who may create events for this page?";"Who may create events for this page?"
"Show ""Claim this Page"" link on this page.";"Show ""Claim this Circle"" link on this page."
"Show this page in search results.";"Show this page in search results."
"Create";"Create"
"Contact information will be displayed in the Info section of your page profile.";"Contact information will be displayed in the Info section of your page profile."
"Phone:";"Phone:"
"Email:";"Email:"
"Website:";"Website:"
"Save Details";"Save Details"
"<div class=""tip""><span>Admin has not choose any option to show contact detail.</span></div>";"<div class=""tip""><span>Admin has not choose any option to show contact detail.</span></div>"
"Claim this Page";"Claim this Circle"
"Below, you can file a claim for this page on this community that you believe should be owned by you. Your request will be sent to the administration.";"Below, you can file a claim for this page on this community that you believe should be owned by you. Your request will be sent to the administration."
"Your Name";"Your Name"
"Your Email";"Your Email"
"About You and the Page";"About You and the Circle"
"Terms of Service";"Terms of Service"
"Below, you can file a claim for a page on this community that you believe should be owned by you. Your request will be sent to the administration.";"Below, you can file a claim for a page on this community that you believe should be owned by you. Your request will be sent to the administration."
"Start typing the name of the page";"Start typing the name of the page"
"You must agree to the terms of service to continue.";"You must agree to the terms of service to continue."
"Send";"Send"
"Edit Location";"Edit Location"
"Edit your location below, then click ""Save Location"" to save your location.";"Edit your location below, then click ""Save Location"" to save your location."
"Eg: Fairview Park, Berkeley, CA";"Eg: Fairview Park, Berkeley, CA"
"Save Location";"Save Location"
"Cannot create topic without page_id";"Cannot create topic without page_id"
"Cannot create post without page_id";"Cannot create post without page_id"
"invalid argument passed to setPhoto";"invalid argument passed to setPhoto"
"One-time fee of %1$s";"One-time fee of %1$s"
"%1$s for %2$s %3$s";"%1$s for %2$s %3$s"
"%1$s for forever";"%1$s for forever"
"Plugin class not instance of Engine_Payment_Gateway";"Plugin class not instance of Engine_Payment_Gateway"
"Gateways do not match";"Gateways do not match"
"Your payment has been cancelled and";"Your payment has been cancelled and"
"not been charged. If this is not correct, please try again later.";"not been charged. If this is not correct, please try again later."
"There was an error processing your";"There was an error processing your"
"transaction. Please try again later.";"transaction. Please try again later."
"There was an error processing your ";"There was an error processing your "
"Your payment could not be ";"Your payment could not be "
"completed. Please ensure there are sufficient available funds ";"completed. Please ensure there are sufficient available funds "
"in your account.";"in your account."
"Unknown order type for IPN";"Unknown order type for IPN"
"Unknown or unsupported IPN ";"Unknown or unsupported IPN "
"type, or missing transaction or order ID";"type, or missing transaction or order ID"
"pending";"pending"
"Your payment has been cancelled and not been charged. If this is not correct, please try again later.";"Your payment has been cancelled and not been charged. If this is not correct, please try again later."
"There was an error processing your transaction. Please try again later.";"There was an error processing your transaction. Please try again later."
"Your payment could not be completed. Please ensure there are sufficient available funds in your account.";"Your payment could not be completed. Please ensure there are sufficient available funds in your account."
"Your payment has been cancelled and not been charged. If this in not correct, please try again later.";"Your payment has been cancelled and not been charged. If this in not correct, please try again later."
"Unknown or unsupported IPN type, or missing transaction or order ID";"Unknown or unsupported IPN type, or missing transaction or order ID"
"Page Profile Overview";"Circle Profile Overview"
"Displays rich overview on Page's profile, created by its admin using the editor from Page Dashboard. This should be placed in the Tabbed Blocks area of Page Profile.";"Displays rich overview on Page's profile, created by its admin using the editor from Page Dashboard. This should be placed in the Tabbed Blocks area of Circle Profile."
"Page Profile";"Circle Profile"
"Page Profile 'Save to my foursquare' button";"Circle Profile 'Save to my foursquare' button"
"This Button will enable page visitors to add the Page\'s place or tip to their foursquare To-Do List, if the Page admin has entered its code. There is also Member Level and Package setting for this button.";"This Button will enable page visitors to add the Page\'s place or tip to their foursquare To-Do List, if the Circle admin has entered its code. There is also Member Level and Package setting for this button."
"Pages";"Circles"
"Categories";"Categories"
"Page admins";"Circle admins"
"Enable Location for page main location.";"Enable Location for page main location."
"Which all Pages related to the user do you want to display in this tab widget on their profile?";"Which all Circles related to the user do you want to display in this tab widget on their profile?"
"Pages Owned by the user. (Page Owner)";"Pages Owned by the user. (Circle Owner)"
"Pages Administered by the user. (Page Admin)";"Pages Administered by the user. (Circle Admin)"
"Profile Fields";"Profile Fields"
"Insights Email Settings";"Insights Email Settings"
"Insights Graph Settings";"Insights Graph Settings"
"Statistics";"Statistics"
"You have become an administrator of the page: {item:$object}.";"You have become an administrator of the page: {item:$object}."
"Manage Claims";"Manage Claims"
"Import";"Import"
"FAQ";"FAQ"
"Edit Page Details";"Edit Circle Details"
"Edit Page Overview";"Edit Circle Overview"
"Share Page";"Share Circle"
"Message Owner";"Message Owner"
"Print Page";"Print Circle"
"Publish Page";"Publish Circle"
"Add to My Page`s Favourites";"Add to My Circle`s Favourites"
"Remove from My Page`s Favourites";"Remove from My Circle`s Favourites"
"Close Page";"Close Circle"
"Open Page";"Open Circle"
"Delete Page";"Delete Circle"
"Report Page";"Report Circle"
"Promote with an Ad";"Promote with an Ad"
"Manage Packages";"Manage Packages"
"Claim a Page";"Claim a Circle"
"Transactions";"Transactions"
"{item:$subject} created a new page:";"{item:$subject} created a new page:"
"{item:$subject} commented on the page: {item:$object:$title} {body:$body}";"{item:$subject} commented on the page: {item:$object:$title} {body:$body}"
"forever";"forever"
"Automobile";"Automobile"
"Bikes";"Bikes"
"Buses";"Buses"
"Cars";"Cars"
"Trucks";"Trucks"
"Jobs";"Jobs"
"Accounting";"Accounting"
"Advertising";"Advertising"
"Banking";"Banking"
"Engineering";"Engineering"
"Law";"Law"
"Movies - TV";"Movies - TV"
"Movie";"Movie"
"Theater Show";"Theater Show"
"TV Channel";"TV Channel"
"TV Show";"TV Show"
"Fashion";"Fashion"
"Accessories";"Accessories"
"Apparels";"Apparels"
"Jewelery";"Jewelery"
"Shoes";"Shoes"
"Watches";"Watches"
"Real Estate";"Real Estate"
"Apartments";"Apartments"
"Bungalows";"Bungalows"
"Commercial";"Commercial"
"Penthouses";"Penthouses"
"Plots";"Plots"
"Sports";"Sports"
"Athlete";"Athlete"
"Coach";"Coach"
"League";"League"
"Team";"Team"
"Travel";"Travel"
"Destinations";"Destinations"
"Guides";"Guides"
"Hotels";"Hotels"
"Operators";"Operators"
"Electronics";"Electronics"
"Air Conditioners";"Air Conditioners"
"Cameras";"Cameras"
"Mobile Phones";"Mobile Phones"
"Music Players";"Music Players"
"Refrigerators";"Refrigerators"
"Televisions";"Televisions"
"Places";"Places"
"Restaurants";"Restaurants"
"Theatres";"Theatres"
"Schools";"Schools"
"Hospitals";"Hospitals"
"Malls";"Malls"
"Default Type";"Default Type"
"Tube-less";"Tube-less"
"Normal";"Normal"
"Available";"Available"
"Not-available";"Not-available"
"Action";"Action"
"Comedy";"Comedy"
"Crime";"Crime"
"Documentary";"Documentary"
"Drama";"Drama"
"Family";"Family"
"Foreign";"Foreign"
"Horror";"Horror"
"Romance";"Romance"
"Sci-Fi";"Sci-Fi"
"Suspense";"Suspense"
"Teen";"Teen"
"War";"War"
"Page Main Navigation Menu";"Circle Main Navigation Menu"
"Page Quick Navigation Menu";"Circle Quick Navigation Menu"
"Page Profile Options Menu";"Circle Profile Options Menu"
"Sitepage Insight Mail";"Sitepage Insight Mail"
"Sitepage Maintenance";"Sitepage Maintenance"
"Overall Length (mm)";"Overall Length (mm)"
"Overall Width (mm)";"Overall Width (mm)"
"Overall Height (mm)";"Overall Height (mm)"
"Mileage Highway (km/liter)";"Mileage Highway (km/liter)"
"Mileage City (km/liter)";"Mileage City (km/liter)"
"Mileage Overall (km/liter)";"Mileage Overall (km/liter)"
"Maximum Speed (kmph)";"Maximum Speed (kmph)"
"Wheel Type";"Wheel Type"
"Dimensions";"Dimensions"
"Power";"Power"
"Colors Available";"Colors Available"
"Opening Hours";"Opening Hours"
"Parking";"Parking"
"Specialty";"Specialty"
"Affiliation";"Affiliation"
"Awards";"Awards"
"Unit Area";"Unit Area"
"Basic Sale Price";"Basic Sale Price"
"Facilities";"Facilities"
"Color";"Color"
"Care Instructions";"Care Instructions"
"Genre";"Genre"
"Duration (mins)";"Duration (mins)"
"This field is hidden and only visible to you and admins:";"This field is hidden and only visible to you and admins:"
"Add Profile Question";"Add Profile Question"
"Show on the search options?";"Show on the search options?"
"I have read and agree to the <a href='javascript:void(0);' onclick=window.open('%s/pageitems/terms','mywindow',""width=500,height=500"")>terms of service</a>.";"I have read and agree to the <a href='javascript:void(0);' onclick=window.open('%s/pageitems/terms','mywindow',""width=500,height=500"")>terms of service</a>."
"Claimer Display Name";"Claimer Display Name"
"Display Name";"Display Name"
"Member Id";"Member Id"
"Claimer Name";"Claimer Name"
"About";"About"
"Contact Number";"Contact Number"
"Contact No.";"Contact No."
"Claimed Date";"Claimed Date"
"Creation Date";"Creation Date"
"details";"details"
"take action";"take action"
"delete";"delete"
"Delete the selected members?";"Delete the selected members?"
"Are you sure that you want to delete the %d members? These will not be recoverable after being deleted.";"Are you sure that you want to delete the %d members? These will not be recoverable after being deleted."
"Please select a member to be deleted.";"Please select a member to be deleted."
"Go Back";"Go Back"
"Note: Page Claims are disabled from Global Settings.";"Note: Circle Claims are disabled from Global Settings."
"Add Member";"Add Member"
"Username";"Username"
"remove";"remove"
"Remove Selected";"Remove Selected"
"Delete the selected page claims?";"Delete the selected page claims?"
"Are you sure that you want to delete the %d page claims? These will not be recoverable after being deleted.";"Are you sure that you want to delete the %d page claims? These will not be recoverable after being deleted."
"Please select a page claim to be deleted.";"Please select a page claim to be deleted."
"Remove";"Remove"
"Reset Layout of Page Profiles?";"Reset Layout of Circle Profiles?"
"Are you sure you want to reset the layout of profiles of directory items / pages on your site to the one selected by you? The profile layouts of all the existing directory items / pages on your site will also be reset to the one selected by you.";"Are you sure you want to reset the layout of profiles of directory items / pages on your site to the one selected by you? The profile layouts of all the existing directory items / pages on your site will also be reset to the one selected by you."
"Continue";"Continue"
"Add Question";"Add Question"
"Profile Type Label";"Profile Type Label"
"EditProfile Type";"EditProfile Type"
"Add Profile Type";"Add Profile Type"
"Heading Name";"Heading Name"
"Add Heading";"Add Heading"
"Rename Profile Type";"Rename Profile Type"
"Delete Profile Type";"Delete Profile Type"
"Create New Profile Type";"Create New Profile Type"
"Save Order";"Save Order"
"Delete Selected";"Delete Selected"
"Are you sure you want to delete selected page offers ?";"Are you sure you want to delete selected page offers ?"
"Widget Settings";"Widget Settings"
"Configure the settings for various widgets available with this plugin.";"Configure the settings for various widgets available with this plugin."
"After giving this permission members can edit categories but it can cause content loss like reviews rating data, profile type details etc.";"After giving this permission members can edit categories but it can cause content loss like reviews rating data, profile type details etc."
"General";"General"
"Claims";"Claims"
"_fl";"Language"
"Browse the different FAQ sections of this plugin by clicking on the corresponding tabs below.";"Browse the different FAQ sections of this plugin by clicking on the corresponding tabs below."
"and many more.";"and many more."
"Customize";"Customize"
"Activity Feed";"Activity Feed"
"Are you sure you want to delete selected pages ?";"Are you sure you want to delete selected pages ?"
"Open/Closed";"Open/Closed"
"Subcategory";"Subcategory"
"Payment";"Payment"
"A";"A"
"F";"F"
"S";"S"
"O/C";"O/C"
"Expiration Date";"Expiration Date"
"NA (Free)";"NA (Free)"
"Make Dis-Approved";"Make Dis-Approved"
"Make Approved";"Make Approved"
"Make Un-featured";"Make Un-featured"
"Make Featured";"Make Featured"
"Make Unsponsored";"Make Unsponsored"
"Make Sponsored";"Make Sponsored"
"Un-featured";"Un-featured"
"Unsponsored";"Unsponsored"
"Make Closed";"Make Closed"
"Make Open";"Make Open"
"edit";"edit"
"renew";"renew"
"change category";"change category"
"change owner";"change owner"
"badge";"badge"
"Title:";"Title:"
"Owner:";"Owner:"
"Total Admins:";"Total Admins:"
"Category:";"Category:"
"Subcategory:";"Subcategory:"
"Creation Date:";"Creation Date:"
"Approved:";"Approved:"
"Approved Date:";"Approved Date:"
"Featured:";"Featured:"
"Sponsored:";"Sponsored:"
"Price:";"Price:"
"Location:";"Location:"
"Views:";"Views:"
"Rating:";"Rating:"
" rating";" rating"
"Albums";"Albums"
"%s photo";"%s photo";"%s photos"
"%1$s  &raquo; ";"%1$s  &raquo; "
" &raquo;  %2$s";" &raquo;  %2$s"
"Untitled";"Untitled"
"Suggest to Friends";"Suggest to Friends"
"View Albums";"View Albums"
"Add More Photos";"Add More Photos"
"Manage Photos";"Manage Photos"
"Last";"Last"
"Next";"Next"
"Prev";"Prev"
"First";"First"
"&raquo; ";"&raquo; "
"Edit Photos";"Edit Photos"
"Here, you can edit photos of this album.";"Here, you can edit photos of this album."
"Previous";"Previous"
"By Week";"By Week"
"Week";"Week"
"Year";"Year"
"Forever";"Forever"
"By Month";"By Month"
"View Page";"View Circle"
"Dashboard:";"Dashboard:"
"Dashboard: ";"Dashboard: "
"Monthly Active Users";"Monthly Active Users"
"Page Insights";"Circle Insights"
"Use the below filter to observe various metrics of your page over different time periods.";"Use the below filter to observe various metrics of your page over different time periods."
"View Page Report";"View Circle Report"
"Generate Another Report";"Generate Another Report"
"Time Summary";"Time Summary"
" to ";" to "
"<span> %s </span> View";"<span> %s </span> View";"<span> %s </span> Views"
"<span> %s </span> Like";"<span> %s </span> Like";"<span> %s </span> Likes"
"<span> %s </span> Comment";"<span> %s </span> Comment";"<span> %s </span> Comments"
"There are no activities found in the selected date range.";"There are no activities found in the selected date range."
"Your changes have been saved successfully.";"Your changes have been saved successfully."
"Error: no values";"Error: no values"
" - All unsaved changes to pages or widgets will be lost - ";" - All unsaved changes to pages or widgets will be lost - "
"Any unsaved changes will be lost. Are you sure you want to leave this page?";"Any unsaved changes will be lost. Are you sure you want to leave this page?"
"Your changes to this page have been saved.";"Your changes to this page have been saved."
"Changing to this layout will cause %s area(s) containing widgets to be destroyed. Are you sure you want to continue?";"Changing to this layout will cause %s area(s) containing widgets to be destroyed. Are you sure you want to continue?"
"Tabbed Blocks";"Tabbed Blocks"
"hide on this page";"hide on this page"
"Are you sure you want to delete this page?";"Are you sure you want to delete this page?"
"Use the layout editor to decide what content appears on main profile of your Page. Click and drag the colored ""blocks"" to arrange the content you want. Drag blocks to and from the ""Available Blocks"" area to add or remove them from your Page profile. Use ""HTML Blocks"" if you want to drop in raw HTML or other content.";"Use the layout editor to decide what content appears on main profile of your Page. Click and drag the colored ""blocks"" to arrange the content you want. Drag blocks to and from the ""Available Blocks"" area to add or remove them from your Circle profile. Use ""HTML Blocks"" if you want to drop in raw HTML or other content."
"Note: Some blocks won\'t appear if their apps or features are not available in your package.";"Note: Some blocks won\'t appear if their apps or features are not available in your package."
"Note: Some blocks won\'t appear if their apps or features are not available to your member level.";"Note: Some blocks won\'t appear if their apps or features are not available to your member level."
"Back to Page Dashboard";"Back to Circle Dashboard"
"Page Profile Block Placement";"Circle Profile Block Placement"
"Select a new column layout for this page.";"Select a new column layout for this page."
"and keep your current layout.";"and keep your current layout."
"Global Header";"Global Header"
"show on this page";"show on this page"
"Missing widget: %s";"Missing widget: %s"
"Global Footer";"Global Footer"
"Main Content Area";"Main Content Area"
"Drop things here to add them to the global footer.";"Drop things here to add them to the global footer."
"Available Blocks";"Available Blocks"
"&#171; Previous";"&#171; Previous"
"Next &#187;";"Next &#187;"
"There are currently no enabled payment gateways. Please contact the site admin to get this issue resolved.";"There are currently no enabled payment gateways. Please contact the site admin to get this issue resolved."
"There are currently no paid packages available of the site. Please upgrade your package.";"There are currently no paid packages available of the site. Please upgrade your package."
"Processing Payment";"Processing Payment"
"Processing Request. Please wait .....";"Processing Request. Please wait ....."
"Order your Page";"Order your Circle"
"You have created a page that requires payment. You will be taken to a secure checkout area where you can pay for your page. Remember to continue back to our site after your purchase.";"You have created a page that requires payment. You will be taken to a secure checkout area where you can pay for your page. Remember to continue back to our site after your purchase."
"Please setup your page to continue:";"Please setup your page to continue:"
"Please pay a one-time fee to continue:";"Please pay a one-time fee to continue:"
"or";"or"
"Pay with %1$s";"Pay with %1$s"
"Payment Pending";"Payment Pending"
"Thank you for submitting your payment. Your payment is currently pending - your page will be activated when we are notified that the payment has completed successfully. Please return to our login page when you receive an email notifying you that the payment has completed.";"Thank you for submitting your payment. Your payment is currently pending - your page will be activated when we are notified that the payment has completed successfully. Please return to our login page when you receive an email notifying you that the payment has completed."
"Back to Dashboard page";"Back to Dashboard page"
"Back to My Pages";"Back to My Circles"
"Payment Successful";"Payment Successful"
